STR,LAT,LONG,GATE,DESC
"47.43845601587499, -122.29759712219771",47.43845602,-122.2975971,A14,G
"47.43846585759002, -122.29778718010184",47.43846586,-122.2977872,A13,G
"47.43869455868293, -122.29795445045893",47.43869456,-122.2979545,A12,G
"47.43910147554176, -122.29792630793804",47.43910148,-122.2979263,A11,G
"47.4395059921896, -122.29792044536548",47.43950599,-122.2979204,A10,G
"47.440089449331836, -122.2982788818462",47.44008945,-122.2982789,A09,G
"47.44048557094118, -122.29884217574948",47.44048557,-122.2988422,A08,G
"47.44071060490233, -122.29918502833934",47.4407106,-122.299185,A07,G
"47.44094659745855, -122.2995255000229",47.4409466,-122.2995255,A06,G
"47.44129875166712, -122.30037788456501",47.44129875,-122.3003779,A05,G
"47.44153223637272, -122.30072208340509",47.44153224,-122.3007221,A04,G
"47.44189393317026, -122.30123321335196",47.44189393,-122.3012332,A03,G
"47.44224305678811, -122.30174265361349",47.44224306,-122.3017427,A02,G
"47.442535208488415, -122.30218028487768",47.44253521,-122.3021803,A01,G
"47.4389128607041, -122.2974801814152",47.43891286,-122.2974802,BA14,B
"47.440193690786884, -122.29784536853465",47.44019369,-122.2978454,BA9,B
"47.44160394386573, -122.30042220747022",47.44160394,-122.3004222,BA5,B
"47.44242878892151, -122.30160559619348",47.44242879,-122.3016056,BA1 ,B
"47.44257378705115, -122.3029837875323",47.44257379,-122.3029838,BB3,B
"47.442508156663536, -122.30355689558478",47.44250816,-122.3035569,B3,G
"47.441991059181355, -122.30352344140337",47.44199106,-122.3035234,B4,G
"47.442225981416705, -122.30392443165015",47.44222598,-122.3039244,B5,G
"47.44194450816572, -122.30399395054802",47.44194451,-122.303994,B7,G
"47.44165459881547, -122.30355071493626",47.4416546,-122.3035507,B6,G
"47.44141559231503, -122.30352322229398",47.44141559,-122.3035232,B8,G
"47.44106037614791, -122.30364834083142",47.44106038,-122.3036483,B10,G
"47.440918630130774, -122.30362273662104",47.44091863,-122.3036227,B12,G
"47.44083717410196, -122.30388826176552",47.44083717,-122.3038883,B14,G
"47.44092376121499, -122.30406843954218",47.44092376,-122.3040684,B15,G
"47.44105460369314, -122.30402861077049",47.4410546,-122.3040286,B11,G
"47.441462090321124, -122.30398679008086",47.44146209,-122.3039868,B9,G
"47.44145392689943, -122.30372728635975",47.44145393,-122.3037273,BB8,B
"47.44472829414092, -122.30193705671385",47.44472829,-122.3019371,D1,G
"47.444797225371424, -122.3018136750997",47.44479723,-122.3018137,BD1,B
"47.445154043479704, -122.30134931866266",47.44515404,-122.3013493,D2,G
"47.445338105996576, -122.30097284193748",47.44533811,-122.3009728,BD2,B
"47.4455821727894, -122.30073770479457",47.44558217,-122.3007377,D3,G
"47.4457548497456, -122.30052888918091",47.44575485,-122.3005289,D4,G
"47.44588375623334, -122.30038095374327",47.44588376,-122.300381,D5,G
"47.44591967042718, -122.30011068707753",47.44591967,-122.3001107,BD5,B
"47.44614605751888, -122.2999380957336",47.44614606,-122.2999381,D6,G
"47.44629514235138, -122.29972118380819",47.44629514,-122.2997212,D7,G
"47.44651319070774, -122.29945186544622",47.44651319,-122.2994519,D8,G
"47.44650421226408, -122.2993560867334",47.44650421,-122.2993561,D9,G
"47.446346447932534, -122.29912944205648",47.44634645,-122.2991294,D10,G
"47.446165595555684, -122.29899952439649",47.4461656,-122.2989995,D11,G
"47.44619188973422, -122.2992252207693",47.44619189,-122.2992252,BD11,B
"47.44476437211829, -122.30384361097",47.44476437,-122.3038436,C2A-C2M,G
"47.44487094331738, -122.30384025820877",47.44487094,-122.3038403,BC2,B
"47.44530400750607, -122.30401174501367",47.44530401,-122.3040117,C10,G
"47.44572856764138, -122.30360681916792",47.44572857,-122.3036068,C9,G
"47.44574588346526, -122.30400984840513",47.44574588,-122.3040098,C12,G
"47.44602165323332, -122.30357742174094",47.44602165,-122.3035774,C11,G
"47.44611977561322, -122.30359259460636",47.44611978,-122.3035926,C15,G
"47.4463500097599, -122.3036248369453",47.44635001,-122.3036248,C17,G
"47.44633077018151, -122.30409898899073",47.44633077,-122.304099,C20,G
"47.446360270873654, -122.30420804396078",47.44636027,-122.304208,C18,G
"47.44634487921024, -122.30429339132866",47.44634488,-122.3042934,C16,G
"47.44599140743297, -122.30404417306903",47.44599141,-122.3040442,BC12,B